S.no,property,location,carpet_area_sqft,Price,Rate_per_sqft,status,floor,transaction,facing,overlooking,ownership,parking,city,bedroom,X,Y,nearest_metro_1,nearest_metro_2,nearest_school_1,nearest_school_2,nearest_school_3,nearest_hospital_1,nearest_hospital_2,nearest_hospital_3,distance_nearest_metro_km,distance_nearest_hospital_km,distance_nearest_school_km
1325,, Anand Vihar,1400.0,32500000,14444,Ready to Move,2 out of 2,New Property,West,"Garden/Park, Main Road",Freehold,1 Covered,Delhi,4,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1327,, BPTP Pride,1100.0,8600000,6370,Ready to Move,Upper Basement out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",Faridabad,4,77.07001,28.423952,59,60,743,831,506,29,28,128,3.9393631666516127,14.16461970341715,7.544259682413705
1328,, Sector 75 Faridabad,900.0,10000000,3704,Ready to Move,10 out of 18,Resale,East,Garden/Park,Leasehold,1 Covered,Faridabad,5,77.06357,28.464073,59,60,2217,831,818,128,28,29,1.137136532104771,9.657639259865794,6.298185609802022
1329,, Indiabulls Centrum Park,816.0,17500000,8750,Ready to Move,24 out of 24,Resale,North - East,Main Road,Leasehold,1 Open,Gurgaon,3,78.48452,17.416607,96,162,741,742,511,4,5,29,119.97470535694676,1239.4301000829323,1230.3920452184752
1330,, Eldeco Aamantran,1158.0,15000000,9141,Ready to Move,10 out of 25,Resale,South,"Garden/Park, Main Road",Power Of Attorney,"1 Covered,",Noida,3,77.038651,28.413978,59,60,743,831,5547,128,28,29,6.293209573514771,15.251786692357575,10.963813538887333
1331,, Gaur Yamuna City,1050.0,6000000,4364,Ready to Move,1 out of 3,Resale,South - East,Garden/Park,Freehold,3 Covered,Noida,3,72.877308,19.291849,96,202,2126,1863,1881,128,29,109,538.2436844553274,1127.439557305952,1115.9558490081672
1332,, Vishwakarma Colony,516.6672,2500000,4146,Ready to Move,2 out of 4,Resale,West,"Garden/Park, Main Road",Freehold,1 Covered,Delhi,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1334,, Modinagar Ghaziabad,4800.0,4500000,12953,Ready to Move,17 out of 18,Resale,East,Main Road,Freehold,,Ghaziabad,1,77.556741,28.817729,58,187,2968,2733,2731,129,94,106,17.089535543660794,30.321524381692544,28.358620653860907
1335,, IREO Uptown,2100.0,15000000,3701,Ready to Move,Ground out of 3,Resale,North - West,Garden/Park,Freehold,,Gurgaon,2,77.05879638,28.3962551,59,60,743,506,515,29,128,28,7.169766650655183,17.133935274846497,10.238294970658924
1336,, Panchsheel Primrose,1264.0,4800000,7407,Ready to Move,Ground out of 2,Resale,North - East,"Garden/Park, Pool",Freehold,,Ghaziabad,3,77.261936,16.757454,96,162,741,742,167,4,5,29,132.48469355744305,1304.9370906440715,1295.657455395616
1352,Realty Shopee, BPTP PARK SERENE,750.0,7400000,4805,Ready to Move,5 out of 20,Resale,North - East,"Garden/Park, Main Road",Freehold,1 Covered,Gurgaon,3,76.975484,28.452886,59,60,2160,2236,2071,128,109,74,10.809999828509088,13.899268718108704,7.474482565896557
1354,, BPTP PARK SERENE,1200.0,7500000,4870,Ready to Move,8 out of 14,Resale,North,Garden/Park,Freehold,1 Covered,Gurgaon,2,76.975484,28.452886,59,60,2160,2236,2071,128,109,74,10.809999828509088,13.899268718108704,7.474482565896557
1355,, Vasundhara,500.0,2600000,3421,Ready to Move,4 out of 4,New Property,East,Main Road,Freehold,1 Covered,Ghaziabad,2,77.0790894,28.4606332,59,60,831,818,5547,28,128,29,0.7282087079121163,10.364474940370368,4.6585817103931975
1356,, Sector 76,1800.0,3070000,3050,Ready to Move,5 out of 22,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,Faridabad,2,76.9900243,28.3910112,59,60,2160,2071,2236,128,109,28,11.902078642197296,19.07273315536444,14.317757054069897
1358,, Dwarka Sector 10,1400.0,9500000,13194,Ready to Move,4 out of 4,New Property,East,"Main Road, Garden/Park",Freehold,2 Covered,Delhi,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1359,, Kirti Nagar,750.0,31000000,17222,Ready to Move,1 out of 4,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,"3 Covered,",Delhi,3,77.193888,28.679266,156,191,2998,3009,914,44,63,27,1.541654872245866,0.7404462725422072,0.4391912468394086
1360,, Orchid Mayfield Gardens ,1700.0,11500000,7931,Ready to Move,2 out of 4,Resale,North - East,Main Road,Freehold,"1 Covered,",Gurgaon,3,77.060437,28.424282,59,60,743,831,5547,128,29,28,4.121371185454608,14.0331689731177,8.334530549483071
1361,, Mehrawali Apartment,1850.0,2100000,3763,Poss. by Dec '24,Ground out of 5,Resale,North - East,Main Road,Freehold,1 Covered,Delhi,1,77.087003,28.474359,135,136,831,818,5547,28,29,128,0.7591350888262554,9.033171928368073,3.6944877057174343
1362,, Prideville ,600.0,6510000,6200,Ready to Move,2 out of 14,Resale,North,Garden/Park,Freehold,2 Open,Noida,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1363,, Lajpat Nagar III,3800.0,24500000,13243,Ready to Move,3 out of 3,Resale,South -West,Garden/Park,Leasehold,1 Covered,Delhi,3,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1364,, Ibiza Town,1000.0,44200000,7492,Ready to Move,21 out of 21,New Property,North,"Garden/Park, Pool",Freehold,1 Covered,Faridabad,5,77.093572,28.463248,197,59,831,5547,818,29,28,128,2.0014972341208965,9.520450551698579,3.0277347084667494
1366,, Gulshan Botnia,1377.0,8200000,8000,Ready to Move,14 out of 14,Resale,North,"Garden/Park, Pool, Main Road",Freehold,,Noida,2,79.084734,27.47928,162,177,5523,245,5516,1,118,5,218.29999854986062,232.06979436379493,224.77558457610783
1381,Vision Realtech, Gobind Apartment,700.0,11000000,9700,Ready to Move,3 out of 8,Resale,East,Garden/Park,Leasehold,1 Covered,Delhi,2,77.049117,28.390522,59,60,743,506,515,128,29,28,8.073640213532428,17.769405420037142,11.486109322287737
1383,Noble Property, Sidharth Enclave,3150.0,26500000,9464,Ready to Move,2 out of 3,Resale,North - East,Garden/Park,Freehold,3 Covered,Delhi,5,77.259753,28.573845,8,218,257,731,255,39,121,58,0.20334689890446836,0.4954193693217689,0.4276747174124876
1384,, Sector 105,1175.0,4800000,4800,Ready to Move,1 out of 5,Resale,North,Garden/Park,Freehold,"1 Covered,",Gurgaon,3,77.0081378,28.4943133,182,60,2071,2070,2072,128,109,18,6.2716912890671495,8.044491378212033,3.490392036110025
1385,, Bharat City,2910.0,2700000,2798,Ready to Move,10 out of 13,Resale,West,Main Road,Freehold,"1 Covered,",Ghaziabad,2,77.0478143,28.4324434,59,60,831,5547,743,128,28,29,4.0644007913542834,13.125516011007898,9.032204085729726
1386,, May Field Gardens Sector 51,840.0,29000000,9206,Ready to Move,1 out of 4,New Property,North - East,"Garden/Park, Pool",Freehold,"3 Covered,",Gurgaon,4,77.060437,28.424282,59,60,743,831,5547,128,29,28,4.121371185454608,14.0331689731177,8.334530549483071
1389,, DLF The Belaire,1100.0,67500000,23140,Ready to Move,12 out of 28,Resale,East,"Garden/Park, Main Road",Freehold,,Gurgaon,4,77.101704,28.449712,59,53,831,5547,818,29,28,128,3.3968115362331113,10.14147512827533,3.0324471909270807
1390,, Golf Course Road,2700.0,10800000,3635,Ready to Move,2 out of 4,Resale,East,"Main Road, Garden/Park, Pool",Freehold,,Gurgaon,4,77.0952886,28.4627244,197,53,831,5547,818,29,28,128,2.074234473061206,9.459290676743676,2.8593816425913356
1393,, Shakti Nagar,9000.0,37500000,14098,Ready to Move,Ground out of 2,Resale,East,Garden/Park,Freehold,,Delhi,5,77.0172825,28.4537674,59,60,2217,2071,2070,128,109,89,6.177658629738835,11.483401108578452,7.9511122413854745
1394,, Anand Vihar New Delhi,700.0,52000000,45217,Ready to Move,1 out of 2,Resale,North - East,Garden/Park,Freehold,,Delhi,3,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1395,, RWA Residential Society,2400.0,25000000,6944,Ready to Move,4 out of 10,Resale,,Main Road,Freehold,,Gurgaon,4,79.43072,28.973845,58,187,2589,2774,3034,129,94,100,223.93907023808273,236.35373820018773,235.15280189161726
1396,, Rohini Sector 7 New Delhi,1100.0,30000000,46450,Ready to Move,1 out of 3,Resale,,"Garden/Park, Main Road",Freehold,,Delhi,2,77.125775,28.727928,173,172,5030,4852,5671,50,80,42,1.8447436448791465,0.9942732290557026,0.5223350176736783
1411,Maya Buidcon Pvt. Ltd., Sector 15,1070.0,55000000,11000,Ready to Move,10 out of 20,Resale,North - East,"Garden/Park, Pool, Main Road",Leasehold,1 Covered,Faridabad,5,76.91223256,28.38431985,202,59,2126,1881,2125,128,109,74,9.776586324278014,24.23987971010182,14.167090862628214
1412,, Gaur City 16th Avenue,1050.0,7700000,5560,Ready to Move,8 out of 8,Resale,North,"Main Road, Garden/Park",Freehold,"1 Covered,",Noida,3,77.292463,28.624139,103,42,1376,1589,1631,84,67,30,1.3382555095606687,0.8617649699072059,0.5346201815208134
1413,, Sector 62,1800.0,9500000,6105,Ready to Move,Upper Basement out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,1 Covered,Noida,3,77.0823781,28.407697,59,60,743,506,515,29,28,128,5.833360842211577,15.146298947115286,7.332528573721823
1415,, Techer Colony,1550.0,3100000,3851,Ready to Move,2 out of 5,Resale,South - East,Garden/Park,Freehold,1 Covered,Delhi,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1416,, Ashram,850.0,10000000,7143,Poss. by Aug '24,2 out of 3,Resale,North - East,Garden/Park,Leasehold,2 Open,Delhi,3,77.12695705,28.40509125,59,5,743,506,515,29,28,40,8.397525864237519,13.22081864008106,4.136503087555409
1418,, SS Southend,890.0,6000000,9286,Ready to Move,Ground out of 3,Resale,North - East,"Garden/Park, Main Road",Power Of Attorney,1 Covered,Gurgaon,2,77.0465154,28.4102729,59,60,743,831,506,128,29,28,6.171493569736743,15.590606098196476,10.511244568720427
1419,, Sector 15,1050.0,26000000,3710,Ready to Move,Ground out of 4,Resale,East,Main Road,Freehold,1 Covered,Noida,7,76.91223256,28.38431985,202,59,2126,1881,2125,128,109,74,9.776586324278014,24.23987971010182,14.167090862628214
1420,, Sector 15A,1100.0,7420000,3077,Ready to Move,Ground out of 3,Resale,North - East,Main Road,Leasehold,"1 Covered,",Noida,3,77.0717418,28.4416815,59,60,831,5547,818,128,29,28,1.9630462946958769,12.244662009130767,6.210835670361293
1422,, Shahdara New Delhi,550.0,1820000,13889,Ready to Move,2 out of 2,Resale,East,"Garden/Park, Main Road, Pool",Leasehold,,Delhi,2,77.29826,28.66785,105,185,1218,1648,1586,57,114,92,0.8991888912572951,1.6353624324176932,0.30701283702792365
1423,, Mahagun Sarovar Portico,2200.0,12500000,15000,Ready to Move,7 out of 7,Resale,,"Garden/Park, Pool, Main Road",Freehold,,Ghaziabad,1,77.694594,12.978743,96,162,741,742,511,4,5,29,548.8849133666122,1725.0946681350897,1715.8646635786424
1424,, Sector 15A,1200.0,75000000,5455,Ready to Move,8 out of 23,Resale,,Main Road,,,Noida,6,77.0717418,28.4416815,59,60,831,5547,818,128,29,28,1.9630462946958769,12.244662009130767,6.210835670361293
1425,, Sector 16,1200.0,12000000,5556,Ready to Move,Ground out of 2,Resale,,,,,Faridabad,3,77.0511794,28.4687344,60,59,2217,2205,2207,128,28,29,2.391446909984804,9.08490502616311,5.691987276710915
1441,Saigal Consultancy, TARC Tripundra,1161.0,43000000,19500,Poss. by Dec '25,5 out of 10,New Property,North - East,"Garden/Park, Pool",Freehold,2 Covered,Delhi,3,87.095831,25.111257,162,177,5558,5516,5604,24,118,1,1143.1471030354974,1152.854775308228,1146.7309619320463
1442,, DLF City Phase 3,2200.0,45000000,16100,Ready to Move,1 out of 4,Resale,North,Garden/Park,Freehold,"2 Covered,",Gurgaon,4,77.0836441,28.4640865,59,60,831,818,5547,28,29,128,1.3283686335567095,10.128021753058695,4.088539933610702
1443,, Sector 17 Noida,1450.0,105000000,16406,Ready to Move,9 out of 21,Resale,South,"Garden/Park, Pool, Main Road",Leasehold,1 Open,Noida,8,77.059731,28.476377,60,112,2217,1849,2084,128,28,29,1.47869077317987,8.257351608873567,4.961164203621034
1444,, Ajnara Homes,376.7365,6200000,4806,Ready to Move,4 out of 7,Resale,East,"Garden/Park, Main Road",Freehold,1 Open,Noida,3,79.526393,25.993753,162,177,5523,245,566,5,1,4,357.77333519538905,376.7025934115368,369.07109904642743
1445,, Satyam Apartment,2750.0,13500000,9310,Ready to Move,4 out of 4,Resale,North - East,Main Road,Leasehold,"2 Covered,",Delhi,3,79.143084,21.194191,96,162,741,742,511,5,4,1,405.13568219035244,839.2410095261357,830.7726928931229
1447,, Keshav Puram,2453.0,5000000,7692,Ready to Move,2 out of 3,Resale,North,Garden/Park,Freehold,"2 Covered,",Delhi,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1449,, Sector 2,900.0,22000000,8000,Ready to Move,4 out of 12,New Property,North - East,Main Road,Freehold,3 Covered,Gurgaon,4,77.0342831,28.5090499,182,40,2217,2205,1750,128,109,89,4.023402267695162,5.092353979008154,2.1262386405279345
1450,, Noida Royale City,2600.0,12300000,9180,Ready to Move,1 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"2 Covered,",Noida,4,77.356164,28.574733,15,143,1202,1284,1274,24,118,53,2.7054599147619856,5.5933590266397495,4.037374094060691
1451,, Jangpura B,2430.0,11000000,11111,Ready to Move,1 out of 4,Resale,East,"Pool, Garden/Park",Leasehold,1 Covered,Delhi,2,77.250198,28.583333,73,57,733,307,5591,121,39,58,0.9703538145556911,0.9560468494870834,0.37061523694135895
1454,, Sector 20,640.0,1430000,2600,Ready to Move,2 out of 4,Resale,North - East,"Garden/Park, Pool, Main Road",Leasehold,,Noida,1,77.08793939,28.5084961,197,135,2221,4271,1849,128,28,29,3.0737950241563317,6.006514251719185,1.2972563341239027
1455,, Sector 20 Noida,2250.0,17500000,7292,Ready to Move,1 out of 4,Resale,North,"Garden/Park, Main Road",Leasehold,,Noida,4,77.32933,28.582185,15,131,1355,1202,1470,24,53,101,2.1045930595915503,2.818333548911282,1.9788629874566925
1457,, Keshav Puram,1850.0,8500000,9444,Ready to Move,9 out of 14,Resale,North - West,Garden/Park,Leasehold,,Delhi,3,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1471,Golden BRX, Private Colony,1200.0,6000000,12245,Ready to Move,1 out of 3,Resale,South -West,Main Road,Leasehold,1 Covered,Delhi,4,77.02553579,28.46795385,60,59,2217,2205,2071,128,109,89,5.22698753262489,9.69112811235915,6.3835127229834745
1472,Sachin Gambhir, Eldeco Residency Greens,1500.0,7500000,6000,Ready to Move,5 out of 20,Resale,North,"Garden/Park, Main Road",Freehold,1 Covered,Noida,2,80.971909,26.858711,162,177,5558,5516,5604,1,118,24,437.80762054627024,449.79298033949794,442.8540883164859
1473,Dewan Associates, Paras Irene,1200.0,15500000,8470,Ready to Move,12 out of 14,Resale,East,Main Road,Freehold,2 Covered,Gurgaon,3,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1474,, Imperia Esfera,1342.0,8820000,6210,Ready to Move,2 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,1 Covered,Gurgaon,2,77.041365,28.423027,59,60,831,743,5547,128,28,29,5.321104421041304,14.22140737263813,10.167215827316843
1475,, vasundhra ghaziabad Ghaziabad,1500.0,5500000,4583,Ready to Move,4 out of 7,Resale,North - West,"Garden/Park, Main Road",Freehold,1 Covered,Ghaziabad,2,77.432251,28.686014,187,6,2589,2774,2775,129,94,100,2.519246137945915,12.262855714857421,11.358481552664758
1477,, Satya Element One,850.0,15000000,10714,Ready to Move,14 out of 25,New Property,South,Main Road,Power Of Attorney,"3 Covered,",Gurgaon,1,77.05047,28.420656,59,60,743,831,5547,128,29,28,4.950330752994275,14.42163707114105,9.463849347847518
1478,, Krishna Apra Gardens,1170.0,13700000,8068,Ready to Move,12 out of 14,Resale,North,"Pool, Garden/Park, Main Road",Freehold,1 Covered,Ghaziabad,3,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1479,, sector 10 HBC Faridabad,2150.0,4500000,12500,Ready to Move,2 out of 4,Resale,East,"Pool, Garden/Park, Main Road",Freehold,1 Open,Faridabad,3,77.06357,28.464073,59,60,2217,831,818,128,28,29,1.137136532104771,9.657639259865794,6.298185609802022
1481,, Sector 118 Noida,2200.0,5000000,4115,Ready to Move,1 out of 4,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,,Noida,2,77.3261,28.5708,15,143,1468,1478,1481,24,118,53,1.1925425755356078,3.7635120903323593,2.7813198036181452
1484,, ATS Green Paradiso,900.0,15000000,6977,Ready to Move,5 out of 10,Resale,North,Garden/Park,Freehold,,Noida,3,77.518293,28.430175,127,13,5558,5516,5604,1,118,24,23.144830303519296,28.80780354526816,21.683509631610484
1501,Iskon Properties, Sree Badrinath Apartment,1800.0,22000000,11000,Ready to Move,1 out of 5,Resale,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",Delhi,4,75.361179,11.874709,96,162,167,5557,741,29,4,5,712.9385272625312,1858.3120460789435,1848.694152974607
1502,Cushman and Wakefield, Ansal East End,10575.0,3950000,3762,Ready to Move,2 out of 4,Resale,North - East,"Garden/Park, Main Road",Leasehold,1 Covered,Ghaziabad,6,77.22455,28.562623,116,95,320,5576,445,33,119,105,1.097794212044178,1.0240577168686458,0.5829627534486204
1503,, Ramprastha Greens,850.0,8400000,8400,Ready to Move,1 out of 3,Resale,East,"Pool, Garden/Park, Main Road",Leasehold,1 Covered,Ghaziabad,2,77.346505,28.649746,89,4,1547,1205,1254,94,100,107,2.5077745227263044,3.7447791883371058,2.942190089824438
1505,, Grand Ajnara Heritage,1900.0,8400000,7029,Ready to Move,2 out of 2,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Noida,2,77.391723,28.57364,15,143,1184,1274,1284,24,118,53,6.461558388435631,9.190303841810472,7.017902758773582
1506,, Sector 37,2160.0,8000000,5079,Ready to Move,3 out of 3,Resale,North,Main Road,Freehold,"2 Covered,",Faridabad,3,76.999294,28.4342681,59,60,2071,2070,2160,128,109,89,8.605822223445827,14.256764140048062,9.571996112451636
1507,, Shipra Sun City,3000.0,4500000,5357,Ready to Move,3 out of 3,Resale,West,Garden/Park,Freehold,1 Covered,Ghaziabad,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
1508,, Sector 56 Gurgaon,1127.0,40000000,11111,Ready to Move,Ground out of 2,Resale,North - East,"Garden/Park, Pool",Leasehold,"3 Covered,",Gurgaon,5,77.0985157,28.4253232,59,60,743,506,515,29,28,128,4.743230385510664,12.51968630370633,4.884448526280744
1509,, Kamna Apartments,680.0,1800000,4500,Ready to Move,2 out of 2,Resale,North - East,Garden/Park,Freehold,,Ghaziabad,1,72.815504,18.964248,96,202,2126,1863,1881,128,29,109,535.8093571331283,1163.4402183985912,1152.0650317325778
1511,, Sector 3 Block C1,645.0,10000000,7067,Ready to Move,5 out of 14,Resale,,,,,Gurgaon,2,88.410935,22.57429,96,162,5516,5558,5604,1,118,24,1313.7530781180956,1401.4965810488345,1394.2887809109852
1531,Bluecrumbs, Raj Nagar 2,360.0,1700000,4722,Ready to Move,3 out of 3,Resale,East,Garden/Park,Freehold,1 Covered,Delhi,1,77.0180396,28.4480285,59,60,2217,2071,2070,128,109,89,6.191260158920566,12.053366160761062,8.573710689930673
1532,Charitra Realty Pvt Ltd, Nice Group Housing,1600.0,10000000,5263,Ready to Move,1 out of 8,Resale,North,Garden/Park,Freehold,3 Open,Faridabad,3,77.103211,28.430296,59,60,743,506,515,29,28,40,4.679493556635014,11.772140498516501,4.223251904158292
1534,, Jagriti Enclave,1950.0,99500000,11706,Ready to Move,4 out of 18,New Property,East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Delhi,10,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.1920741052101493,10.128227786703349,6.548283816120483
