S.no,property,location,carpet_area_sqft,Price,Rate_per_sqft,status,floor,transaction,facing,overlooking,ownership,parking,city,bedroom,X,Y,nearest_metro_1,nearest_metro_2,nearest_school_1,nearest_school_2,nearest_school_3,nearest_hospital_1,nearest_hospital_2,nearest_hospital_3,distance_nearest_metro_km,distance_nearest_hospital_km,distance_nearest_school_km
1,Parnami Infra, Vasant Vihar,3000,85000000,21250,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",Delhi,4,77.1362483,28.566437,190,25,4267,4278,4092,28,83,40,1.068414586,3.776289544,0.995764796
2,Dolphin Real Estates, Sushant Lok-I,1500,26500000,9815,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,1 Covered,Gurgaon,4,77.076724,28.464228,59,60,831,818,5547,128,28,29,0.705560895,9.91042581,4.84617427
3,The Unique Realty, DLF City Phase 2,1296,29500000,15245,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",Gurgaon,3,77.0846097,28.483901,135,136,831,818,4251,28,128,29,0.338644056,8.145664577,4.039526444
4,Iconic Realty, Rohini Sector 24,1100,12100000,10083,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,"1 Covered,",Delhi,3,77.122822,28.732753,172,176,4985,4984,5184,80,50,42,1.987647014,1.596403412,0.437608867
5,Synergy Real Estates, Rohini Sector 8,750,25000000,31250,Ready to Move,2 out of 4,New Property,East,Garden/Park,Leasehold,1 Covered,Delhi,3,77.122822,28.732753,172,176,4985,4984,5184,80,50,42,1.987647014,1.596403412,0.437608867
6,Essbee Realtors, CRC Joyous,991,12700000,8063,Poss. by Dec '23,6 out of 26,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,Noida,3,77.060314,28.415772,59,60,743,506,831,128,29,28,5.026689194,14.97592517,8.951236134
7,Investors Home, Godrej Nature Plus,1100,13500000,8671,Poss. by Sep '23,3 out of 3,New Property,South,Main Road,Freehold,"2 Covered,",Gurgaon,3,77.695385,12.923102,96,162,741,742,511,4,5,29,555.0605415,1731.270777,1722.040666
8,Temple Homes Pvt. Ltd., Luxury Builder Floors,2200,35000000,12963,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Pool",Freehold,4 Covered,Gurgaon,4,76.038761,11.542692,96,162,167,741,742,4,29,5,727.0320355,1888.508818,1878.766726
9,Shanti Property, Experion Windchants,3200,87500000,10276,Ready to Move,25 out of 25,Resale,West,"Pool, Garden/Park, Main Road",Freehold,"3 Covered,",Gurgaon,5,77.015669,28.517747,182,40,2071,2070,1898,128,109,18,3.584157228,5.587988583,2.860212991
10,Makaan Search Realty, DLF City Plot Phase 1,2700,54900000,15250,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,2 Covered,Gurgaon,4,77.102974,28.491651,53,197,818,831,4250,28,29,128,1.07177256,6.420921089,2.778484272
11,Worth It Realtors, Uppal Southend,5600,19900000,6633,Ready to Move,4 out of 4,New Property,North,Garden/Park,Freehold,3 Covered,Gurgaon,4,77.0465154,28.4102729,59,60,743,831,506,128,29,28,6.17149357,15.5906061,10.51124457
12,Miglani Realtors , Pioneer Presidia,1900,71500000,16486,Ready to Move,7 out of 21,Resale,East,Main Road,Freehold,"2 Covered,",Gurgaon,4,77.086556,28.414739,59,60,743,506,515,29,28,128,5.185835557,14.24039602,6.561573502
13,GRAHA PRAVESH, Vipul World,2800,31000000,6889,Ready to Move,3 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,Gurgaon,4,77.0345031,28.4128327,59,60,743,831,5547,128,28,29,6.677483989,15.43549752,11.41618682
14,Dash Services, Emaar MGF Marbella,1400,120000000,18405,Ready to Move,Ground out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"2 Covered,",Gurgaon,5,77.104215,28.516723,53,25,4251,4143,4145,28,29,128,3.857954723,4.703299092,0.592629343
15,House 2 Home Realty , Luxury Floors,1800,57500000,12727,Ready to Move,2 out of 4,New Property,North - West,Garden/Park,Freehold,"2 Covered,",Gurgaon,4,77.09332,28.445347,59,60,831,5547,743,29,28,128,2.770202102,11.1209553,4.032208204
16,Amethyst Landbase LLP, DLF City Phase 2,1700,41000000,14416,Ready to Move,1 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",Gurgaon,4,77.0846097,28.483901,135,136,831,818,4251,28,128,29,0.338644056,8.145664577,4.039526444
17,Proporigin Estate, Uppal Southend,1205,19500000,6500,Ready to Move,4 out of 4,New Property,West,Garden/Park,Leasehold,2 Covered,Gurgaon,4,77.0465154,28.4102729,59,60,743,831,506,128,29,28,6.17149357,15.5906061,10.51124457
18,Investin PRO Realtech Pvt. Ltd., Defence Colony,3300,82500000,33093,Poss. by Dec '23,2 out of 4,New Property,North,Garden/Park,Freehold,2 Covered,Delhi,4,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
21,, Bestech Altura,2025,23800000,8957,Ready to Move,10 out of 14,New Property,East,"Garden/Park, Main Road",Freehold,"1 Covered,",Gurgaon,4,76.925968,28.409267,202,59,2126,2160,1881,128,109,74,8.502719674,21.15286968,11.87276377
22,, Hauz Khas,2000,54900000,31371,Poss. by Jan '27,Ground out of 4,New Property,North - East,Garden/Park,Freehold,5 Open,Delhi,4,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
23,, Ashiana Amarah,1410,13500000,7297,Ready to Move,1 out of 4,New Property,West,Main Road,Freehold,3 Covered,Gurgaon,3,76.767685,30.704855,58,176,5401,5402,3774,103,99,102,215.0513439,210.1658584,206.5982123
31,C K Realty, Antriksh Grand View,1350,18500000,8222,Ready to Move,9 out of 19,New Property,North - East,"Garden/Park, Pool, Main Road",Leasehold,1 Covered,Noida,3,77.386773,28.558393,15,143,5574,1202,1284,24,118,1,5.85291737,9.434739019,7.045952639
32,Nandi Realtors, Kishangarh,240,8500000,6538,Ready to Move,3 out of 5,New Property,East,"Garden/Park, Main Road",Freehold,"2 Covered,",Delhi,3,74.86685,26.5741,202,59,1863,2126,2125,74,116,109,305.5188492,325.2801197,310.8167434
33,Shikhar Realty Services Pvt. Ltd., Vatika Sovereign Park,2450,29100000,10500,Poss. by Apr '24,5 out of 12,New Property,South - East,"Garden/Park, Pool, Main Road",Freehold,2 Open,Gurgaon,3,77.01954,28.453328,59,60,2217,2071,2070,128,109,89,5.933679746,11.44317241,8.094455477
34,A N Builders & Promoters, Sector 45 Block A Gurgaon,789,21000000,15556,Ready to Move,1 out of 3,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,Gurgaon,3,77.069737,28.440781,59,60,831,5547,818,128,29,28,2.085710722,12.30949966,6.453405907
35,Piyush Ahuja, Paramount Emotions,750,7700000,5580,Ready to Move,1 out of 19,Resale,North - East,Main Road,Leasehold,1 Covered,Noida,3,76.441144,10.874852,96,162,167,741,742,4,5,29,791.3654168,1959.936683,1950.346534
36,Infinity Investments, DLF City Phase 1,1350,60000000,21429,Ready to Move,7 out of 20,Resale,North - West,Main Road,Freehold,"1 Covered,",Gurgaon,3,77.0836441,28.4640865,59,60,831,818,5547,28,29,128,1.328368634,10.12802175,4.088539934
37,Bhoomi Zone, Capital Athena,1550,10600000,8218,Ready to Move,2 out of 4,New Property,North - East,"Pool, Garden/Park",Freehold,1 Covered,Noida,3,77.075209,28.451156,59,60,831,5547,818,128,28,29,0.951869659,11.28266642,5.393880527
38,AR Realtors , Smart World Orchard,1467,16600000,14500,Poss. by Jan '24,1 out of 14,New Property,North - East,"Garden/Park, Pool, Main Road",Leasehold,"2 Covered,",Gurgaon,2,83.301806,17.727266,96,162,741,742,511,5,4,1,641.1969501,1372.83436,1365.865456
39,Shokeen Estates, Emaar Emerald Estate,2048,17500000,11667,Ready to Move,1 out of 4,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Gurgaon,3,77.104215,28.516723,53,25,4251,4143,4145,28,29,128,3.857954723,4.703299092,0.592629343
40,Maakriti Realtors Private Limited, RWA Sector 57,1100,20000000,7407,Ready to Move,10 out of 14,Resale,North - East,"Garden/Park, Main Road",Freehold,5 Open,Gurgaon,4,77.094641,28.488982,197,53,818,831,4251,28,29,128,0.875176672,7.292190784,3.481323855
41,Arun Singhal, Corona Optus,2200,17500000,6331,Ready to Move,2 out of 3,Resale,East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Gurgaon,4,76.98884515,28.4521115,59,60,2071,2160,2070,128,109,74,9.337690592,13.09398769,7.536713726
42,Shree Home Solution, Sector 28 Gurgaon,3469,41000000,7178,Ready to Move,15 out of 17,Resale,East,"Garden/Park, Main Road",Freehold,1 Open,Gurgaon,5,77.0825722,28.4741302,112,135,831,818,5547,28,128,29,0.635942204,9.059785381,4.179704617
43,Space & Services Venture (Regd.), Siddhartha Vihar,1500,14700000,3928,Poss. by Mar '26,1 out of 4,New Property,East,"Garden/Park, Pool, Main Road",Freehold,"2 Covered,",Ghaziabad,3,84.982763,24.694906,162,177,5516,5558,5604,1,118,24,942.2555944,955.3040412,948.1685265
44,Grow Up Investors, RPS Savana,1750,5000000,6029,Ready to Move,3 out of 4,Resale,East,Main Road,Freehold,"2 Covered,",Faridabad,2,77.053087,28.419861,59,60,743,831,5547,128,29,28,4.891322078,14.50520666,9.281132689
45,Happy Homez, Rajendra Nagar,2300,20500000,10331,Ready to Move,19 out of 28,New Property,North - East,Garden/Park,Freehold,"1 Covered,",Ghaziabad,5,77.0211279,28.4495431,59,60,2217,2071,2070,128,109,89,5.822259006,11.78460381,8.451885003
46,Anantham Infra Pvt Ltd, All Punjabi Welfare Association,1593,26500000,17584,Ready to Move,4 out of 20,New Property,North - East,"Garden/Park, Main Road",Freehold,1 Open,Gurgaon,4,72.85277,19.229848,96,202,2126,1863,1881,128,29,109,538.9608786,1134.83296,1123.353164
47,Shiv Shakti Properties, M3M Golf Estate,360,61000000,7035,Ready to Move,4 out of 7,Resale,East,"Garden/Park, Pool, Main Road",Freehold,"2 Covered,",Gurgaon,3,77.06767955,28.40194465,59,60,743,506,515,29,28,128,6.395117501,16.56475246,9.071122895
48,Happy Homes Properties and Builders, Ramprastha Primera,1350,12100000,12513,Ready to Move,2 out of 10,New Property,East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Gurgaon,3,77.320228,28.660717,4,29,1156,1254,5486,94,100,107,1.56951185,0.855830114,0.083513983
49,Unistar Estates Pvt. Ltd., Kesarwani Apartment,1500,24400000,15400,Ready to Move,1 out of 4,Resale,North - West,Garden/Park,Freehold,"1 Covered,",Delhi,3,77.053167,28.599217,37,36,2049,2000,1987,43,23,108,1.476694808,0.532078756,0.362121709
50,, Guru Apartment,800,38500000,10511,Ready to Move,1 out of 4,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,Delhi,4,77.059766,28.592601,36,35,2034,2005,2011,25,43,23,1.305769314,1.142119143,0.289877026
51,, MRG Crown,715,17500000,5753,Poss. by Feb '26,1 out of 4,New Property,East,"Garden/Park, Main Road",Freehold,1 Covered,Gurgaon,3,77.059659,28.468272,60,59,2217,831,818,128,28,29,1.486521585,9.153918597,5.841049785
52,, Uttam Nagar,1444,2100000,5759,Ready to Move,4 out of 28,New Property,North,Main Road,Freehold,1 Covered,Delhi,1,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
53,, Indirapuram,1900,8350000,15312,Ready to Move,1 out of 4,New Property,East,Main Road,Freehold,2 Covered,Ghaziabad,3,77.369259,28.633667,89,101,1203,1580,1343,7,94,100,5.031456338,6.645483656,3.584588516
54,, DLF Capital Greens 1 and 2,360,24500000,5000,Ready to Move,3 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,,Delhi,3,77.100441,28.472445,53,197,831,818,5547,29,28,128,1.082141059,8.246682195,2.187946299
55,, Shakti Khand,3500,4500000,3765,Ready to Move,3 out of 9,New Property,East,Main Road,Freehold,,Ghaziabad,2,77.058419,28.454355,59,60,831,2217,818,128,28,29,1.674602073,10.68805471,7.052637762
61,Aashirwad Home Developers, Aashirwad Homes,1500,10500000,7000,Ready to Move,3 out of 4,New Property,North,Garden/Park,Freehold,2 Covered,Faridabad,3,75.734417,12.436416,96,162,167,741,742,29,4,5,640.5179768,1792.201864,1782.524664
62,Dwarka Expressway Homes, M3M Woodshire,1720,13000000,6691,Ready to Move,8 out of 15,Resale,East,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",Gurgaon,3,77.059615,28.402113,59,60,743,506,515,29,128,28,6.515385927,16.48731819,9.864130395
63,Premium Estates, RWA Sushant lok,2500,27500000,8488,Ready to Move,1 out of 4,New Property,North - East,Main Road,Freehold,3 Covered,Gurgaon,4,77.072965,28.463707,59,60,831,818,5547,128,28,29,0.485619243,9.868382236,5.267406816
64,Ruchika, Sushant Lok 1 Block C,4518,55000000,9773,Ready to Move,3 out of 4,New Property,North - East,Garden/Park,Freehold,2 Open,Gurgaon,4,77.07704,28.468151,60,59,831,818,5547,128,28,29,0.691137912,9.499573617,4.772974704
65,Treveni Properties, Himachal Dauladhar,1800,21500000,9737,Ready to Move,4 out of 7,Resale,East,Main Road,Freehold,1 Open,Delhi,4,77.270865,31.903523,58,176,5401,5402,4042,103,99,80,336.1094942,341.0755284,337.2547661
66,Ambawata Properties, Sector 63A,1750,18500000,25926,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",Gurgaon,3,77.0717418,28.4416815,59,60,831,5547,818,128,29,28,1.963046295,12.24466201,6.21083567
67,Silver Homz, Executive Floor,2300,70000000,10706,Ready to Move,3 out of 4,New Property,North - East,Garden/Park,Freehold,1 Covered,Delhi,4,77.09332,28.445347,59,60,831,5547,743,29,28,128,2.770202102,11.1209553,4.032208204
68,Bajaj Properties, IES Officers Apartment,1600,18200000,10900,Ready to Move,4 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",Delhi,3,77.053001,28.603992,37,126,2028,4425,5741,23,108,43,1.886149234,0.119314458,0.554356549
69,A One Realtors, Hind Apartment,1800,21800000,7344,Ready to Move,8 out of 8,Resale,North - East,"Garden/Park, Main Road",Freehold,1 Covered,Delhi,3,77.087003,28.474359,135,136,831,818,5547,28,29,128,0.759135089,9.033171928,3.694487706
70,Bhoomi Bazar, Vatika Sovereign Next,2350,23500000,11250,Ready to Move,10 out of 22,New Property,East,"Garden/Park, Pool",Freehold,"4 Covered,",Gurgaon,4,77.064083,28.468743,60,59,2217,831,818,128,28,29,1.007549456,9.14956614,5.900368833
71,Sachdeva Associates, The Vimal Apartment,1550,18000000,20202,Ready to Move,1 out of 8,Resale,East,"Garden/Park, Main Road",Freehold,2 Covered,Delhi,4,77.101011,28.448712,59,197,831,5547,743,29,28,128,3.361228974,10.27585731,3.166441233
72,Balaji Properties, Palam Vihar Pocket B Gurgaon,594,12000000,6263,Ready to Move,3 out of 3,Resale,East,Main Road,Freehold,2 Covered,Gurgaon,3,77.042356,28.509885,182,40,2217,2205,1750,128,89,109,4.073553594,4.689746743,1.407311744
73,Khatu Shyam Builders, Dwarka Mor,450,3100000,46393,Ready to Move,2 out of 4,New Property,West,Garden/Park,Freehold,2 Covered,Delhi,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
74,Shriram Properties, New Friends Colony New Delhi,4311,200000000,8231,Ready to Move,3 out of 3,Resale,South - East,"Garden/Park, Main Road",Freehold,1 Covered,Delhi,10,77.271137,28.563114,201,70,662,259,258,85,11,10,0.560469275,0.213809184,0.367974041
75,Jai Ambay Associates, DDA Metro View Apartments,1100,10700000,4861,Ready to Move,Ground out of 4,Resale,North,Garden/Park,Freehold,"1 Covered,",Delhi,2,77.031927,28.600331,38,39,2021,1992,2031,54,87,18,0.409944981,1.350730817,0.217029555
76,Builders World Developer, Govindpuri Main,675,3500000,11849,Ready to Move,12 out of 34,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Open,Delhi,2,76.47899,28.18916,202,59,1863,2126,2125,74,116,109,52.90995498,72.3510501,57.8764182
78,Parnami Infratech Pvt. Ltd, RWA Residential Society,1405,17000000,3443,Ready to Move,16 out of 20,New Property,North - East,Main Road,Freehold,2 Covered,Gurgaon,3,79.43072,28.973845,58,187,2589,2774,3034,129,94,100,223.9390702,236.3537382,235.1528019
79,Salasar Estate, Sector 86,1688,6500000,4915,Ready to Move,1 out of 4,Resale,North - East,Main Road,Freehold,1 Covered,Faridabad,3,76.9411257,28.3981205,202,59,2126,2160,2236,128,109,74,10.57929113,21.04365246,13.56443877
80,OM Documentation & Associates , Dwarka Mor,1040,5160000,15152,Ready to Move,20 out of 28,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,Delhi,3,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
82,Raj Properties, Emerald Heights,1004,7600000,6483,Ready to Move,3 out of 4,Resale,North,"Garden/Park, Main Road",Freehold,1 Open,Faridabad,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
83,Agarwal Realtors, Signature Global Park 4 and 5,1450,7650000,23214,Ready to Move,1 out of 4,Resale,North - West,Garden/Park,Freehold,"1 Covered,",Gurgaon,3,77.065442,28.290471,59,60,743,506,515,29,28,128,18.76188193,27.51832112,18.5465745
85,Deal Realtors, Experion Windchants,2850,36000000,19853,Ready to Move,9 out of 20,Resale,North - East,"Garden/Park, Pool",Freehold,,Gurgaon,3,77.015669,28.517747,182,40,2071,2070,1898,128,109,18,3.584157228,5.587988583,2.860212991
86,Mehta Propmart Pvt. Ltd., DLF The Summit,1220,67500000,6500,Ready to Move,10 out of 20,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,,Gurgaon,4,77.10509,28.446815,59,53,831,5547,743,29,28,40,3.859291829,10.15435209,3.05976151
88,Bhoomi Real Estate (Reg.), DDA Metro View Apartments,1500,16000000,9529,Ready to Move,4 out of 7,New Property,North - East,"Garden/Park, Main Road",Freehold,,Delhi,3,77.031927,28.600331,38,39,2021,1992,2031,54,87,18,0.409944981,1.350730817,0.217029555
89,Negi Associates, Anusandhan Apartment,1292,16200000,4699,Ready to Move,19 out of 19,Resale,,"Garden/Park, Pool, Main Road",Freehold,,Delhi,3,77.064764,28.593026,35,36,2011,2005,2045,25,60,43,1.55404643,0.604823823,0.626460753
91,Sehrawat Properties Pvt. Ltd., Apna Villa Apartment,1700,24500000,11136,Ready to Move,2 out of 9,Resale,North,Garden/Park,Freehold,2 Open,Delhi,4,72.821891,19.423484,96,202,2126,1863,1881,128,29,109,548.4125641,1116.710292,1105.073342
92,R S Associates, Fakhrudd Apartments,1750,19500000,9286,Ready to Move,5 out of 7,Resale,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",Delhi,3,72.815504,18.964248,96,202,2126,1863,1881,128,29,109,535.8093571,1163.440218,1152.065032
95,Devbhoomi Realtors, DDA Platinum Heights,1600,17300000,9611,Ready to Move,3 out of 10,Resale,North - East,Garden/Park,Freehold,2 Open,Delhi,3,72.847655,19.165684,96,202,2126,1863,1881,128,29,109,537.6332838,1141.561926,1130.112988
96,Alleanza Landbase Pvt. Ltd., Sushant Lok 1 Block C,1520,19000000,10053,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"2 Covered,",Gurgaon,3,77.07704,28.468151,60,59,831,818,5547,128,28,29,0.691137912,9.499573617,4.772974704
97,Prime Estates, Kanak Durga Apartment,1600,22500000,12500,Ready to Move,2 out of 10,Resale,East,"Garden/Park, Main Road",Freehold,"1 Covered,",Delhi,3,80.605874,16.515343,96,162,741,742,511,5,4,1,375.5296266,1382.966151,1374.588688
98,S S Properties, Unitech Harmony,1500,17500000,9744,Ready to Move,11 out of 19,Resale,East,"Pool, Garden/Park, Main Road",Freehold,1 Covered,Gurgaon,2,77.058547,28.444525,59,60,831,5547,818,128,28,29,2.271205072,11.77869634,7.384167552
99,Parmar Properties, Raheja Shilas,1100,7000000,4801,Ready to Move,7 out of 14,Resale,North - East,Garden/Park,Freehold,1 Covered,Gurgaon,2,76.977574,28.3734,59,60,2160,2236,2071,128,109,28,14.22662277,21.40835776,16.29430302
101,Taniya rawat, Tata La Vida,1105,16200000,10260,Ready to Move,8 out of 13,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Gurgaon,3,73.091058,19.214937,96,202,2126,1863,1881,128,29,28,513.073876,1125.746219,1114.597846
102,Anand Properties, Prem Milan Apartment,2200,26500000,11042,Ready to Move,5 out of 10,Resale,South,"Main Road, Garden/Park",Freehold,5 Covered,Delhi,4,77.13026,28.712998,171,155,4770,4775,4860,50,41,31,0.761508544,0.749931468,0.33402709
103,Global Realitiez, Greater Kailash 1,4800,165000000,25385,Ready to Move,Ground out of 4,New Property,North - West,Garden/Park,Freehold,"1 Covered,",Delhi,5,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
105,Realty Experts, Neeti Khand 2,2000,16000000,7273,Ready to Move,Ground out of 3,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,Ghaziabad,4,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
106,R K Property & Interior, Shubham CGHS,1400,15500000,9688,Ready to Move,4 out of 8,Resale,North - West,"Garden/Park, Main Road",Freehold,"1 Covered,",Delhi,3,76.92946,28.354908,202,59,2126,2160,1881,128,109,74,13.55880883,25.73378678,17.76368345
107,LSG Landbase, Sector 83,1073,12300000,13810,Ready to Move,18 out of 33,New Property,East,Garden/Park,Freehold,4 Covered,Gurgaon,3,76.9732873,28.3981087,59,202,2160,2236,2071,128,109,74,12.95612256,19.13824412,13.53485379
108,Apex Propmart, Emaar Emerald Estate,1020,14500000,26154,Ready to Move,9 out of 12,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,Gurgaon,2,77.104215,28.516723,53,25,4251,4143,4145,28,29,128,3.857954723,4.703299092,0.592629343
109,Aar Pee Ess Associates, Salcon The Verandas,5000,170000000,15997,Ready to Move,Ground out of 17,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,Gurgaon,6,77.106287,28.435414,59,53,743,506,515,29,28,40,4.581440024,11.1097614,3.776607216
111,Iconic Realtors, Salcon The Verandas,1800,135000000,10526,Ready to Move,3 out of 16,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Gurgaon,5,77.106287,28.435414,59,53,743,506,515,29,28,40,4.581440024,11.1097614,3.776607216
112,Gupta Properties, Dwarka Sector 8,1000,20000000,9149,Ready to Move,2 out of 4,New Property,East,Main Road,Freehold,2 Covered,Delhi,3,77.05069,28.599244,37,36,2049,2028,1987,43,23,108,1.351654539,0.344149223,0.113613041
113,Sanskar Realty , Central Park Flower Valley Flamingo Floor,970,10000000,14203,Ready to Move,1 out of 2,New Property,North - East,Garden/Park,Freehold,2 Covered,Gurgaon,2,79.626719,30.736102,58,187,3701,3768,3752,129,94,106,320.5291323,342.9805281,340.6927888
114,Gautam Realty, Smart World Orchard,2900,22000000,9624,Poss. by Aug '26,2 out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",Gurgaon,3,83.301806,17.727266,96,162,741,742,511,5,4,1,641.1969501,1372.83436,1365.865456
115,Brothers & Company, M3M Antalya Hills Phase II,1500,11000000,13594,Ready to Move,1 out of 4,New Property,East,"Garden/Park, Main Road",Freehold,"2 Covered,",Gurgaon,2,77.072415,28.403567,59,60,743,506,515,29,28,128,6.191183222,16.17076639,8.522527459
116,Krishana Properties, Unitech Espace,650,43500000,14062,Ready to Move,1 out of 4,New Property,East,Garden/Park,Freehold,"1 Covered,",Gurgaon,4,77.07277089,28.41313545,59,60,743,506,515,29,28,128,5.129042502,15.31581086,8.036167938
117,Luxury Roof, DLF City Plot Phase 2,1458,22500000,3200,Ready to Move,1 out of 4,New Property,North - East,Main Road,Freehold,,Gurgaon,3,77.102974,28.491651,53,197,818,831,4250,28,29,128,1.07177256,6.420921089,2.778484272
121,Premium Properties, Godrej Meridien,1500,22500000,12129,Ready to Move,18 out of 19,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",Gurgaon,3,77.002709,28.483239,60,59,2071,2070,2072,128,109,18,7.640654642,9.383418861,4.317443138
122,Solution Specialists, Sobha International City,2430,65000000,26749,Ready to Move,1 out of 4,Resale,North - East,Garden/Park,Freehold,2 Open,Gurgaon,4,76.995648,28.505974,182,40,2071,2070,2072,128,109,74,5.984539616,8.138221401,1.678372049
124,Real 2 Earth, IREO Uptown,1580,29000000,14139,Ready to Move,2 out of 18,Resale,South - East,"Pool, Garden/Park",Freehold,2 Covered,Gurgaon,4,77.05879638,28.3962551,59,60,743,506,515,29,128,28,7.169766651,17.13393527,10.23829497
125,JKM Infratech, Jaypee Greens Knights Court,2100,27000000,9153,Ready to Move,2 out of 4,Resale,East,Garden/Park,Leasehold,1 Covered,Noida,4,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
126,Gungun Properties, Uninav Bliss,1650,8560000,4300,Ready to Move,2 out of 4,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Ghaziabad,3,91.817007,26.157852,187,6,5558,413,5516,24,129,94,1622.708364,1632.530035,1628.019756
129,Dream Property TM, Panchsheel Enclave,1100,48000000,30000,Ready to Move,1 out of 4,New Property,North - East,Main Road,Freehold,"2 Covered,",Delhi,3,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
130,Demera Homes, Vasundhara,2430,7600000,5067,Ready to Move,4 out of 28,New Property,West,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",Ghaziabad,3,77.0790894,28.4606332,59,60,831,818,5547,28,128,29,0.728208708,10.36447494,4.65858171
132,Sanjay Properties, Luxury Builder Floors,3050,29500000,11346,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,3 Covered,Gurgaon,4,76.038761,11.542692,96,162,167,741,742,4,29,5,727.0320355,1888.508818,1878.766726
133,Dwarka Real Estates, DDA Indraprastha Apartment,1600,15000000,9375,Ready to Move,4 out of 4,Resale,North,"Garden/Park, Main Road",Freehold,2 Open,Delhi,3,77.129772,28.713493,171,155,4775,4770,4830,50,41,31,0.775273649,0.677718569,0.388548092
134,Rajesh Kumar, Sector 49,1475,46000000,13529,Ready to Move,6 out of 7,New Property,East,"Garden/Park, Main Road",Freehold,"2 Covered,",Gurgaon,4,77.0498362,28.4128851,59,60,743,831,506,128,29,28,5.745384724,15.28582672,10.0423232
135,Shree Balaji Realtors, Vrundavan Society,3200,18600000,10333,Ready to Move,9 out of 28,Resale,North - East,"Garden/Park, Pool",Freehold,"1 Covered,",Delhi,3,77.10381,28.423948,59,60,743,506,515,29,28,40,5.233861431,12.33465363,4.394510613
136,Sharing Real Estate, DLF Capital Greens 1 and 2,1389,29000000,17313,Ready to Move,4 out of 4,Resale,North - West,"Garden/Park, Pool, Main Road",Freehold,2 Covered,Delhi,3,77.100441,28.472445,53,197,831,818,5547,29,28,128,1.082141059,8.246682195,2.187946299
137,Virendra Estate, Malibu Town,2200,63500000,18143,Ready to Move,16 out of 28,New Property,East,"Garden/Park, Main Road",Freehold,3 Covered,Gurgaon,4,77.0468649,28.4234344,59,60,831,743,5547,128,28,29,4.907478033,14.12970243,9.623833119
138,Khushi Housing Solutions Pvt. Ltd., DLF Crest,2400,104000000,33376,Ready to Move,4 out of 14,Resale,North,"Garden/Park, Pool",Freehold,3 Covered,Gurgaon,4,77.093951,28.494768,197,53,4251,4250,4249,28,29,128,1.501955556,6.937141559,2.834880512
